sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
1581.10.HNZ,con_p,1,3,33.3,1.0,3.0,33.3
79036.10.HNZ,con_p,1,3,33.3,1.0,3.0,33.3
89101.--.HNZ,con_p,1,3,33.3,1.0,3.0,33.3
FS09B.--.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
GHO.01.HNZ,con_p,1,3,33.3,1.0,3.0,33.3
ME53.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
N02D.--.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
LAMB.--.EHZ,con_p,3,8,37.5,3.0,8.0,37.5
O02D.--.BHZ,con_p,3,8,37.5,3.0,8.0,37.5
LSF.--.EHZ,con_p,9,22,40.9,9.0,22.0,40.9
B934.--.EHZ,con_p,6,14,42.9,6.0,14.0,42.9
1582.10.HNZ,con_p,3,7,42.9,3.0,7.0,42.9
WDC.00.HHZ,con_p,5,11,45.5,5.0,11.0,45.5
LRB.--.EHZ,con_p,9,18,50.0,9.0,18.0,50.0
KCS.--.EHZ,con_p,6,12,50.0,6.0,12.0,50.0
LPK.--.EHZ,con_p,6,12,50.0,6.0,12.0,50.0
PETY.00.HHZ,con_p,6,12,50.0,6.0,12.0,50.0
1586.10.HNZ,con_p,4,8,50.0,4.0,8.0,50.0
89781.10.HNZ,con_p,4,8,50.0,4.0,8.0,50.0
GHO.--.EHZ,con_p,4,8,50.0,4.0,8.0,50.0
GWR.--.EHZ,con_p,4,8,50.0,4.0,8.0,50.0
ME32.01.BHZ,con_p,4,8,50.0,4.0,8.0,50.0
ME49.01.BHZ,con_p,4,8,50.0,4.0,8.0,50.0
ME07.01.BHZ,con_p,3,6,50.0,3.0,6.0,50.0
1582.--.HNZ,con_p,2,4,50.0,2.0,4.0,50.0
FS01B.--.BHZ,con_p,2,4,50.0,2.0,4.0,50.0
GCW.--.EHZ,con_p,2,4,50.0,2.0,4.0,50.0
KOM.--.EHZ,con_p,2,4,50.0,2.0,4.0,50.0
79666.10.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
89255.--.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
89462.--.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
89688.10.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
FS02B.--.HHZ,con_p,1,2,50.0,1.0,2.0,50.0
FS05B.--.BHZ,con_p,1,2,50.0,1.0,2.0,50.0
FS07D.--.BHZ,con_p,1,2,50.0,1.0,2.0,50.0
ME41.01.BHZ,con_p,1,2,50.0,1.0,2.0,50.0
MILL.00.HHZ,con_p,1,2,50.0,1.0,2.0,50.0
LBP.--.EHZ,con_p,11,21,52.4,11.0,21.0,52.4
GNA.02.EHZ,con_p,5,9,55.6,5.0,9.0,55.6
KOM.02.HNZ,con_p,5,9,55.6,5.0,9.0,55.6
ME35.01.BHZ,con_p,5,9,55.6,5.0,9.0,55.6
ME36.01.BHZ,con_p,5,9,55.6,5.0,9.0,55.6
LGP.--.EHZ,con_p,9,16,56.2,9.0,16.0,56.2
KBN.--.EHZ,con_p,13,23,56.5,13.0,23.0,56.5
JCC.00.HHZ,con_p,16,28,57.1,16.0,28.0,57.1
89255.10.HNZ,con_p,4,7,57.1,4.0,7.0,57.1
ME04.01.BHZ,con_p,4,7,57.1,4.0,7.0,57.1
SIGP.00.HHZ,con_p,4,7,57.1,4.0,7.0,57.1
LVR.--.EHZ,con_p,11,19,57.9,11.0,19.0,57.9
M02C.--.HHZ,con_p,7,12,58.3,7.0,12.0,58.3
B933.--.EHZ,con_p,18,30,60.0,18.0,30.0,60.0
GASB.00.HHZ,con_p,9,15,60.0,9.0,15.0,60.0
SCOT.00.HHZ,con_p,6,10,60.0,6.0,10.0,60.0
1591.10.HNZ,con_p,3,5,60.0,3.0,5.0,60.0
GTS.--.EHZ,con_p,3,5,60.0,3.0,5.0,60.0
KCR.02.EHZ,con_p,14,23,60.9,14.0,23.0,60.9
KSXB.--.HHZ,con_p,19,31,61.3,19.0,31.0,61.3
JCC.--.HHZ,con_p,8,13,61.5,8.0,13.0,61.5
KBS.02.EHZ,con_p,8,13,61.5,8.0,13.0,61.5
ME08.01.BHZ,con_p,5,9,55.6,5.0,8.0,62.5
ME38.01.BHZ,con_p,5,8,62.5,5.0,8.0,62.5
KHBB.--.HHZ,con_p,27,43,62.8,27.0,43.0,62.8
KRMB.--.HHZ,con_p,19,30,63.3,19.0,30.0,63.3
KSM.02.EHZ,con_p,9,14,64.3,9.0,14.0,64.3
GRO.--.EHZ,con_p,11,17,64.7,11.0,17.0,64.7
GVV.--.EHZ,con_p,13,20,65.0,13.0,20.0,65.0
LPG.--.EHZ,con_p,13,20,65.0,13.0,20.0,65.0
KIP.--.EHZ,con_p,15,23,65.2,15.0,23.0,65.2
B935.--.EHZ,con_p,24,36,66.7,24.0,36.0,66.7
KCPB.--.HHZ,con_p,16,24,66.7,16.0,24.0,66.7
TRIN.00.HHZ,con_p,8,12,66.7,8.0,12.0,66.7
YBH.--.HHZ,con_p,8,12,66.7,8.0,12.0,66.7
GHM.--.EHZ,con_p,6,9,66.7,6.0,9.0,66.7
ME27.01.BHZ,con_p,6,9,66.7,6.0,9.0,66.7
ME37.01.BHZ,con_p,6,9,66.7,6.0,9.0,66.7
1580.01.HNZ,con_p,4,6,66.7,4.0,6.0,66.7
KRK.--.EHZ,con_p,4,6,66.7,4.0,6.0,66.7
ME33.01.BHZ,con_p,4,6,66.7,4.0,6.0,66.7
ME50.01.BHZ,con_p,4,6,66.7,4.0,6.0,66.7
1584.--.HNZ,con_p,2,3,66.7,2.0,3.0,66.7
79298.10.HNZ,con_p,2,3,66.7,2.0,3.0,66.7
CM03A.--.EHZ,con_p,2,3,66.7,2.0,3.0,66.7
DLIK.00.HHZ,con_p,2,3,66.7,2.0,3.0,66.7
GMR.01.HNZ,con_p,2,3,66.7,2.0,3.0,66.7
GWR.01.HNZ,con_p,2,3,66.7,2.0,3.0,66.7
K003.01.HNZ,con_p,2,3,66.7,2.0,3.0,66.7
KFP.01.HNZ,con_p,2,3,66.7,2.0,3.0,66.7
M14B.--.BHZ,con_p,2,3,66.7,2.0,3.0,66.7
B046.--.EHZ,con_p,23,34,67.6,23.0,34.0,67.6
KRP.--.HHZ,con_p,19,28,67.9,19.0,28.0,67.9
KPP.--.EHZ,con_p,11,16,68.8,11.0,16.0,68.8
KHMB.--.HHZ,con_p,29,42,69.0,29.0,42.0,69.0
ME13.01.BHZ,con_p,7,10,70.0,7.0,10.0,70.0
ME31.01.BHZ,con_p,7,10,70.0,7.0,10.0,70.0
KCT.--.HHZ,con_p,26,37,70.3,26.0,37.0,70.3
B047.--.EHZ,con_p,24,34,70.6,24.0,34.0,70.6
WDC.--.HHZ,con_p,10,14,71.4,10.0,14.0,71.4
YBH.50.HHZ,con_p,10,14,71.4,10.0,14.0,71.4
1584.10.HNZ,con_p,5,7,71.4,5.0,7.0,71.4
ME01.01.BHZ,con_p,5,7,71.4,5.0,7.0,71.4
ME34.01.BHZ,con_p,5,7,71.4,5.0,7.0,71.4
KMPB.--.HHZ,con_p,28,39,71.8,28.0,39.0,71.8
N02D.--.HHZ,con_p,8,11,72.7,8.0,11.0,72.7
B049.--.EHZ,con_p,27,37,73.0,27.0,37.0,73.0
GTC.--.EHZ,con_p,11,15,73.3,11.0,15.0,73.3
YBH.00.HHZ,con_p,11,15,73.3,11.0,15.0,73.3
B045.--.EHZ,con_p,23,31,74.2,23.0,31.0,74.2
KFP.--.EHZ,con_p,9,12,75.0,9.0,12.0,75.0
ME03.01.BHZ,con_p,6,8,75.0,6.0,8.0,75.0
WEAV.00.HHZ,con_p,6,8,75.0,6.0,8.0,75.0
1023.10.HNZ,con_p,3,4,75.0,3.0,4.0,75.0
KIP.01.HNZ,con_p,3,4,75.0,3.0,4.0,75.0
ME45.01.BHZ,con_p,3,4,75.0,3.0,4.0,75.0
ME52.01.BHZ,con_p,3,4,75.0,3.0,4.0,75.0
TRNT.20.HNZ,con_p,3,4,75.0,3.0,4.0,75.0
B932.--.EHZ,con_p,22,30,73.3,22.0,29.0,75.9
KKP.--.EHZ,con_p,13,17,76.5,13.0,17.0,76.5
KMR.--.HHZ,con_p,30,39,76.9,30.0,39.0,76.9
DCMP.00.HHZ,con_p,7,9,77.8,7.0,9.0,77.8
ME09.01.BHZ,con_p,7,9,77.8,7.0,9.0,77.8
LBK.--.EHZ,con_p,16,20,80.0,16.0,20.0,80.0
ME29.01.BHZ,con_p,8,10,80.0,8.0,10.0,80.0
ME30.01.BHZ,con_p,8,10,80.0,8.0,10.0,80.0
ME39.01.BHZ,con_p,8,10,80.0,8.0,10.0,80.0
HAYF.00.HHZ,con_p,4,5,80.0,4.0,5.0,80.0
KOM.02.EHZ,con_p,4,5,80.0,4.0,5.0,80.0
ME42.01.BHZ,con_p,4,5,80.0,4.0,5.0,80.0
ME43.01.BHZ,con_p,4,5,80.0,4.0,5.0,80.0
ME57.01.BHZ,con_p,4,5,80.0,4.0,5.0,80.0
KCO.--.HNZ,con_p,10,12,83.3,10.0,12.0,83.3
BRIC.00.HHZ,con_p,5,6,83.3,5.0,6.0,83.3
GHL.--.EHZ,con_p,6,7,85.7,6.0,7.0,85.7
89101.10.HNZ,con_p,7,8,87.5,7.0,8.0,87.5
GASB.--.HHZ,con_p,8,9,88.9,8.0,9.0,88.9
KBU.01.HNZ,con_p,6,6,100.0,6.0,6.0,100.0
KPR.01.HNZ,con_p,5,5,100.0,5.0,5.0,100.0
FS04B.--.HHZ,con_p,4,4,100.0,4.0,4.0,100.0
GNR.01.HNZ,con_p,4,4,100.0,4.0,4.0,100.0
KCR.03.HNZ,con_p,4,4,100.0,4.0,4.0,100.0
RBOW.00.HHZ,con_p,4,4,100.0,4.0,4.0,100.0
1746.--.HNZ,con_p,3,3,100.0,3.0,3.0,100.0
79046.10.HNZ,con_p,3,3,100.0,3.0,3.0,100.0
FS13B.--.HHZ,con_p,3,3,100.0,3.0,3.0,100.0
GB260.--.HHZ,con_p,3,3,100.0,3.0,3.0,100.0
KCSB.01.HNZ,con_p,3,3,100.0,3.0,3.0,100.0
ME44.01.BHZ,con_p,3,3,100.0,3.0,3.0,100.0
ME46.01.BHZ,con_p,3,3,100.0,3.0,3.0,100.0
ME56.01.BHZ,con_p,3,3,100.0,3.0,3.0,100.0
CM01A.--.EHZ,con_p,2,2,100.0,2.0,2.0,100.0
DMOR.00.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
FS02D.--.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
FS04D.--.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
FS06D.--.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
FS09D.--.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
FS16D.--.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
FS17D.--.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
FS20B.--.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
G01D.--.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
G09D.--.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
G19B.--.BHZ,con_p,2,2,100.0,2.0,2.0,100.0
GBL.01.HNZ,con_p,2,2,100.0,2.0,2.0,100.0
GTSB.00.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
KNEE.00.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
MNDO.00.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
PETL.00.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
RVIT.00.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
SANG.00.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
1586.--.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
79435.--.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
99017.10.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
BLAS.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS10D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS11D.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS12B.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS13D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS15D.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS41D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS42D.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS43D.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
G006.01.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
G007.01.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
G02D.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
G18B.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
GB080.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
GB360.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
GHOP.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
GROB.01.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
HUNT.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
INGL.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
KBN.01.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
KPPB.01.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
KTD.01.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
ME54.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME63.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
PRDS.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
SBAR.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
TRIN.01.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
WDC.00.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
