sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
79435.10.HNZ,con_p,2,5,40.0,2.0,5.0,40.0
KOM.02.HNZ,con_p,2,5,40.0,2.0,5.0,40.0
B045.--.EHZ,con_p,8,19,42.1,8.0,19.0,42.1
ME32.01.BHZ,con_p,3,7,42.9,3.0,7.0,42.9
ME49.01.BHZ,con_p,3,7,42.9,3.0,7.0,42.9
B046.--.EHZ,con_p,10,20,50.0,10.0,20.0,50.0
JCC.00.HHZ,con_p,7,14,50.0,7.0,14.0,50.0
KBN.--.EHZ,con_p,5,10,50.0,5.0,10.0,50.0
KSXB.--.HHZ,con_p,4,8,50.0,4.0,8.0,50.0
ME36.01.BHZ,con_p,4,8,50.0,4.0,8.0,50.0
ME37.01.BHZ,con_p,4,8,50.0,4.0,8.0,50.0
KCPB.--.HHZ,con_p,3,6,50.0,3.0,6.0,50.0
KIP.--.EHZ,con_p,3,6,50.0,3.0,6.0,50.0
ME01.01.BHZ,con_p,3,6,50.0,3.0,6.0,50.0
ME04.01.BHZ,con_p,3,6,50.0,3.0,6.0,50.0
KPR.01.HNZ,con_p,2,4,50.0,2.0,4.0,50.0
89255.--.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
89462.--.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
89688.10.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
GCW.--.EHZ,con_p,1,2,50.0,1.0,2.0,50.0
GHOP.00.HHZ,con_p,1,2,50.0,1.0,2.0,50.0
GRO.--.EHZ,con_p,1,2,50.0,1.0,2.0,50.0
ME41.01.BHZ,con_p,1,2,50.0,1.0,2.0,50.0
PETL.00.HHZ,con_p,1,2,50.0,1.0,2.0,50.0
KHMB.--.HHZ,con_p,12,23,52.2,12.0,23.0,52.2
KMPB.--.HHZ,con_p,12,22,54.5,12.0,22.0,54.5
KMR.--.HHZ,con_p,11,20,55.0,11.0,20.0,55.0
KRMB.--.HHZ,con_p,5,9,55.6,5.0,9.0,55.6
B049.--.EHZ,con_p,9,16,56.2,9.0,16.0,56.2
B933.--.EHZ,con_p,8,14,57.1,8.0,14.0,57.1
ME08.01.BHZ,con_p,4,8,50.0,4.0,7.0,57.1
ME38.01.BHZ,con_p,4,7,57.1,4.0,7.0,57.1
B932.--.EHZ,con_p,10,17,58.8,10.0,17.0,58.8
KHBB.--.HHZ,con_p,13,22,59.1,13.0,22.0,59.1
B934.--.EHZ,con_p,6,10,60.0,6.0,10.0,60.0
JCC.--.HHZ,con_p,6,10,60.0,6.0,10.0,60.0
1586.10.HNZ,con_p,3,5,60.0,3.0,5.0,60.0
1591.10.HNZ,con_p,3,5,60.0,3.0,5.0,60.0
KSM.02.EHZ,con_p,3,5,60.0,3.0,5.0,60.0
ME07.01.BHZ,con_p,3,5,60.0,3.0,5.0,60.0
KCT.--.HHZ,con_p,13,21,61.9,13.0,21.0,61.9
KCO.--.HNZ,con_p,5,8,62.5,5.0,8.0,62.5
ME35.01.BHZ,con_p,5,8,62.5,5.0,8.0,62.5
KRP.--.HHZ,con_p,12,18,66.7,12.0,18.0,66.7
ME31.01.BHZ,con_p,6,9,66.7,6.0,9.0,66.7
1584.10.HNZ,con_p,4,6,66.7,4.0,6.0,66.7
89101.10.HNZ,con_p,4,6,66.7,4.0,6.0,66.7
KKP.--.EHZ,con_p,4,6,66.7,4.0,6.0,66.7
ME34.01.BHZ,con_p,4,6,66.7,4.0,6.0,66.7
ME50.01.BHZ,con_p,4,6,66.7,4.0,6.0,66.7
GHM.--.EHZ,con_p,2,3,66.7,2.0,3.0,66.7
GNA.02.EHZ,con_p,2,3,66.7,2.0,3.0,66.7
KIP.01.HNZ,con_p,2,3,66.7,2.0,3.0,66.7
KCR.02.EHZ,con_p,7,10,70.0,7.0,10.0,70.0
ME03.01.BHZ,con_p,5,7,71.4,5.0,7.0,71.4
ME27.01.BHZ,con_p,6,8,75.0,6.0,8.0,75.0
YBH.--.HHZ,con_p,6,8,75.0,6.0,8.0,75.0
BRIC.00.HHZ,con_p,3,4,75.0,3.0,4.0,75.0
HAYF.00.HHZ,con_p,3,4,75.0,3.0,4.0,75.0
ME45.01.BHZ,con_p,3,4,75.0,3.0,4.0,75.0
ME52.01.BHZ,con_p,3,4,75.0,3.0,4.0,75.0
ME09.01.BHZ,con_p,7,9,77.8,7.0,9.0,77.8
ME13.01.BHZ,con_p,7,9,77.8,7.0,9.0,77.8
ME29.01.BHZ,con_p,7,9,77.8,7.0,9.0,77.8
ME30.01.BHZ,con_p,7,9,77.8,7.0,9.0,77.8
ME39.01.BHZ,con_p,7,9,77.8,7.0,9.0,77.8
WDC.--.HHZ,con_p,7,9,77.8,7.0,9.0,77.8
ME33.01.BHZ,con_p,4,5,80.0,4.0,5.0,80.0
ME42.01.BHZ,con_p,4,5,80.0,4.0,5.0,80.0
ME43.01.BHZ,con_p,4,5,80.0,4.0,5.0,80.0
ME57.01.BHZ,con_p,4,5,80.0,4.0,5.0,80.0
YBH.--.HH3,con_p,4,5,80.0,4.0,5.0,80.0
GASB.--.HHZ,con_p,5,5,100.0,5.0,5.0,100.0
KBU.01.HNZ,con_p,4,4,100.0,4.0,4.0,100.0
ME44.01.BHZ,con_p,4,4,100.0,4.0,4.0,100.0
ME46.01.BHZ,con_p,3,3,100.0,3.0,3.0,100.0
ME56.01.BHZ,con_p,3,3,100.0,3.0,3.0,100.0
1023.10.HNZ,con_p,2,2,100.0,2.0,2.0,100.0
1581.10.HNZ,con_p,2,2,100.0,2.0,2.0,100.0
79036.10.HNZ,con_p,2,2,100.0,2.0,2.0,100.0
GHL.--.EHZ,con_p,2,2,100.0,2.0,2.0,100.0
KCR.03.HNZ,con_p,2,2,100.0,2.0,2.0,100.0
RBOW.00.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
RVIT.00.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
1746.--.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
79036.--.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
79435.--.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
89464.--.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
BLAS.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
CM01A.--.EHZ,con_p,1,1,100.0,1.0,1.0,100.0
DMOR.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS02D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS04D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS06D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS09D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS11D.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS15D.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS16D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS17D.--.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS41D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
G01D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
G09D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
GTS.--.EHZ,con_p,1,1,100.0,1.0,1.0,100.0
HUNT.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
KBN.01.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
KCSB.01.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
KNEE.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
KOM.--.EHZ,con_p,1,1,100.0,1.0,1.0,100.0
KOM.02.EHZ,con_p,1,1,100.0,1.0,1.0,100.0
KPPB.01.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
ME07.01.BHE,con_p,1,1,100.0,1.0,1.0,100.0
ME54.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
ME63.01.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
PRDS.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
