sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
XX.ST063.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST064.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST065.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST066.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST067.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST068.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST069.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST070.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST071.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST072.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST073.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST074.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST075.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST076.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST077.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST078.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST079.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST080.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST081.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST082.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST083.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST084.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST085.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST086.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST087.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST088.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST089.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST090.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST091.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST092.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST093.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST094.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST095.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST096.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST097.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST098.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST099.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST100.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
